"Name","DisplayName","StartMode","State","PathName","Description","StartName","ServiceType"
"CloudBackupRestoreSvc_195265","CloudBackupRestoreSvc_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup",,,"Unknown"
"ConsentUxUserSvc_195265","ConsentUX User Service_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Allows the system to request user consent to allow apps to access sensitive resources and information such as the device's location",,"Unknown"
"CredentialEnrollmentManagerUserSvc_195265","CredentialEnrollmentManagerUserSvc_195265","Manual","Stopped","C:\WINDOWS\system32\CredentialEnrollmentManager.exe","Credential Enrollment Manager",,"Unknown"
"DeviceAssociationBrokerSvc_195265","DeviceAssociationBroker_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p","Enables apps to pair devices",,"Unknown"
"DevicePickerUserSvc_195265","DevicePicker_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","This user service is used for managing the Miracast, DLNA, and DIAL UI",,"Unknown"
"DevicesFlowUserSvc_195265","DevicesFlow_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.",,"Unknown"
"NPSMSvc_195265","Now Playing Session Manager Service_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","This service hosts the Now Playing Session Manager used for Media Scenarios",,"Unknown"
"OneSyncSvc_195265","Sync Host_195265","Auto","Running","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","This service synchronizes mail, contacts, calendar and various other user data. Mail and other applications dependent on this functionality will not work properly when this service is not running.",,"Unknown"
"P9RdrService_195265","P9RdrService_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k P9RdrService -p","Enables trigger-starting plan9 file servers.",,"Unknown"
"PimIndexMaintenanceSvc_195265","Contact Data_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Indexes contact data for fast contact searching. If you stop or disable this service, contacts might be missing from your search results.",,"Unknown"
"PrintWorkflowUserSvc_195265","PrintWorkflow_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k PrintWorkflow","Provides support for Print Workflow applications. If you turn off this service, you may not be able to print successfully.",,"Unknown"
"UdkUserSvc_195265","Udk User Service_195265","Manual","Running","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup","Shell components service",,"Unknown"
"UnistoreSvc_195265","User Data Storage_195265","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup","Handles storage of structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly.",,"Unknown"
"UserDataSvc_195265","User Data Access_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Provides apps access to structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly.",,"Unknown"
"WpnUserService_195265","Windows Push Notifications User Service_195265","Auto","Running","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","This service hosts Windows notification platform which provides support for local and push notifications. Supported notifications are tile, toast and raw.",,"Unknown"
